SN,BBMP Zone,Ward Number,Ward Name,Date of identification as Containment zone,Total Number of positive cases,Containment Zone ID,Date of return to normal,Status
239,Yelahanka,4,Yelahanka Satellite Town,02-08-2020,1,Y-A-1211,15-08-2020,ACTIVE
240,Yelahanka,4,Yelahanka Satellite Town,02-08-2020,1,Y-A-1212,15-08-2020,ACTIVE
241,Yelahanka,4,Yelahanka Satellite Town,20-07-2020,1,Y-A-567,02-08-2020,EXTENDED
242,Yelahanka,4,Yelahanka Satellite Town,20-07-2020,1,Y-A-568,02-08-2020,EXTENDED
243,Yelahanka,4,Yelahanka Satellite Town,20-07-2020,1,Y-A-569,02-08-2020,EXTENDED
244,Yelahanka,4,Yelahanka Satellite Town,20-07-2020,1,Y-A-570,02-08-2020,ACTIVE
245,Yelahanka,4,Yelahanka Satellite Town,20-07-2020,2,Y-A-571,02-08-2020,ACTIVE
246,Yelahanka,4,Yelahanka Satellite Town,21-07-2020,1,Y-A-609,03-08-2020,EXTENDED
247,Yelahanka,4,Yelahanka Satellite Town,21-07-2020,1,Y-A-610,03-08-2020,ACTIVE
248,Yelahanka,4,Yelahanka Satellite Town,21-07-2020,1,Y-A-611,03-08-2020,ACTIVE
249,Yelahanka,4,Yelahanka Satellite Town,22-07-2020,1,Y-A-657,04-08-2020,ACTIVE
250,Yelahanka,4,Yelahanka Satellite Town,22-07-2020,2,Y-A-658,04-08-2020,ACTIVE
251,Yelahanka,4,Yelahanka Satellite Town,22-07-2020,1,Y-A-659,04-08-2020,EXTENDED
252,Yelahanka,4,Yelahanka Satellite Town,22-07-2020,1,Y-A-660,04-08-2020,ACTIVE
253,Yelahanka,4,Yelahanka Satellite Town,24-07-2020,2,Y-A-738,06-08-2020,EXTENDED
254,Yelahanka,4,Yelahanka Satellite Town,24-07-2020,1,Y-A-739,06-08-2020,ACTIVE
255,Yelahanka,4,Yelahanka Satellite Town,25-07-2020,1,Y-A-794,07-08-2020,ACTIVE
256,Yelahanka,4,Yelahanka Satellite Town,25-07-2020,3,Y-A-795,07-08-2020,ACTIVE
257,Yelahanka,4,Yelahanka Satellite Town,25-07-2020,1,Y-A-796,07-08-2020,ACTIVE
258,Yelahanka,4,Yelahanka Satellite Town,26-07-2020,1,Y-A-842,08-08-2020,ACTIVE
259,Yelahanka,4,Yelahanka Satellite Town,26-07-2020,2,Y-A-843,08-08-2020,ACTIVE
260,Yelahanka,4,Yelahanka Satellite Town,26-07-2020,1,Y-A-844,08-08-2020,ACTIVE
261,Yelahanka,4,Yelahanka Satellite Town,26-07-2020,2,Y-A-845,08-08-2020,ACTIVE
262,Yelahanka,4,Yelahanka Satellite Town,26-07-2020,1,Y-A-846,08-08-2020,ACTIVE
263,Yelahanka,4,Yelahanka Satellite Town,26-07-2020,1,Y-A-847,08-08-2020,ACTIVE
264,Yelahanka,4,Yelahanka Satellite Town,27-07-2020,1,Y-A-890,09-08-2020,ACTIVE
